County,WTE_Landfill_Percentage,
Hennepin,0.7146029,
Hennepin,0.7242763,
Hennepin,0.7358815,
Hennepin,0.7462971,
Hennepin,0.7394028,
Hennepin,0.7431205,
Hennepin,0.7254915,
Hennepin,0.7316928,
Hennepin,0.7282013,
Hennepin,0.7368199,
Hennepin,0.7420626,
Hennepin,0.6957546,
Hennepin,0.6805084,
Hennepin,0.6785216,
Hennepin,0.651377,
Hennepin,0.6674489,
Hennepin,0.5426472,
Hennepin,0.6595377,
Hennepin,0.552855,
Hennepin,0.5307226,
Metro,0.6408046,
Metro,0.6254765,
Metro,0.6278713,
Metro,0.6625983,
Metro,0.6558464,
Metro,0.6675011,
Metro,0.6542108,
Metro,0.6639758,
Metro,0.660566,
Metro,0.6791518,
Metro,0.6599876,
Metro,0.6588124,
Metro,0.6670592,
Metro,0.665265,
Metro,0.632953,
Metro,0.6235431,
Metro,0.5518591,
Metro,0.5440472,
Metro,0.5214215,
Metro,0.502039,
